variable,calc_order,calc_direction,cycle,cycle_order,variable_type,aggregation_type,runtime
my_independent_variable,1,0,False,0,default,sum,1.6623003482818604
z,2,1,True,1,default,sum,4.368047873179117
y,2,1,True,2,default,sum,4.368047873179117
x,2,1,True,3,default,sum,4.368047873179117
interest,3,1,True,1,default,sum,7.770040273666325
principal,3,1,True,2,default,sum,7.770040273666325
balance,3,1,True,3,default,sum,7.770040273666325
c,4,1,True,1,default,sum,5.955447753270463
b,4,1,True,2,default,sum,5.955447753270463
a,4,1,True,3,default,sum,5.955447753270463
