t,my_independent_variable,z,y,x,interest,principal,balance,c,b,a
0,0.0,424242000.0,424242000.0,0.0,0.0,0.0,50000000.0,2000.0,2000.0,2000.0
1,2000.0,0.0,0.0,1000.0,50000.0,950000.0,49050000.0,2000.0,2000.0,2000.0
2,4000.0,1000.0,1000.0,2000.0,49050.000000000626,950949.9999999836,48099049.99999946,2000.0,2000.0,2000.0
3,6000.0,2000.0,2000.0,3000.0,48099.04999999941,951900.9500000137,47147149.049999475,2000.0,2000.0,2000.0
4,8000.0,3000.0,3000.0,4000.0,47147.149049999476,952852.8509499817,46194296.19905083,2000.0,2000.0,2000.0
5,10000.0,4000.0,4000.0,5000.0,46194.29619904987,953805.703800961,45240490.495249495,2000.0,2000.0,2000.0
6,12000.0,999000.0,6000.0,6000.0,45240.4904952491,954759.5095047652,44285730.985745125,2000.0,2000.0,2000.0
7,14000.0,999000.0,999000.0,12000.0,44285.730985743365,955714.2690142768,43330016.7167307,2000.0,2000.0,2000.0
8,16000.0,999000.0,999000.0,12000.0,43330.01671673042,956669.9832832675,42373346.733446345,2000.0,2000.0,2000.0
9,18000.0,999000.0,999000.0,12000.0,42373.34673344612,957626.6532665737,41415720.08018121,2000.0,2000.0,2000.0
10,20000.0,999000.0,999000.0,12000.0,41415.72008018045,958584.2799198327,40457135.80026026,2000.0,2000.0,2000.0
11,22000.0,999000.0,999000.0,12000.0,40457.13580026007,959542.8641997296,39497592.93606116,2000.0,2000.0,2000.0
12,24000.0,121212000.0,121212000.0,12000.0,39497.592936059686,960502.4070639554,38537090.528997235,2000.0,2000.0,2000.0
