t,my_independent_variable,z,y,x,interest,principal,balance,c,b,a
0,0.0,4242420000.0,4242420000.0,0.0,0.0,0.0,500000000.0,20000.0,20000.0,20000.0
1,20000.0,0.0,0.0,10000.0,500000.0,9500000.0,490500000.0,20000.0,20000.0,20000.0
2,40000.0,10000.0,10000.0,20000.0,490499.9999999202,9509500.000000281,480990500.00008005,20000.0,20000.0,20000.0
3,60000.0,20000.0,20000.0,30000.0,480990.5000000625,9519009.499998543,471471490.49997544,20000.0,20000.0,20000.0
4,80000.0,30000.0,30000.0,40000.0,471471.4905001026,9528528.509500459,461942961.9904077,20000.0,20000.0,20000.0
5,100000.0,40000.0,40000.0,50000.0,461942.9619905827,9538057.038009496,452404904.95251256,20000.0,20000.0,20000.0
6,120000.0,9990000.0,60000.0,60000.0,452404.9049524098,9547595.09504659,442857309.85747075,20000.0,20000.0,20000.0
7,140000.0,9990000.0,9990000.0,120000.0,442857.30985748966,9557142.690141235,433300167.16723,20000.0,20000.0,20000.0
8,160000.0,9990000.0,9990000.0,120000.0,433300.16716732417,9566699.83283336,423733467.33449996,20000.0,20000.0,20000.0
9,180000.0,9990000.0,9990000.0,120000.0,423733.46733452106,9576266.532664556,414157200.80182296,20000.0,20000.0,20000.0
10,200000.0,9990000.0,9990000.0,120000.0,414157.2008018537,9585842.799198175,404571358.0025755,20000.0,20000.0,20000.0
11,220000.0,9990000.0,9990000.0,120000.0,404571.3580026775,9595428.64199728,394975929.3605541,20000.0,20000.0,20000.0
12,240000.0,1212120000.0,1212120000.0,120000.0,394975.9293605529,9605024.07063898,385370905.29004085,20000.0,20000.0,20000.0
13,260000.0,9990000.0,9990000.0,120000.0,385370.90528992924,9614629.09471091,375756276.1952215,20000.0,20000.0,20000.0
14,280000.0,9990000.0,9990000.0,120000.0,375756.2761952092,9624243.72380561,366132032.4714631,20000.0,20000.0,20000.0
15,300000.0,9990000.0,9990000.0,120000.0,366132.03247140127,9633867.967527922,356498164.5039574,20000.0,20000.0,20000.0
16,320000.0,9990000.0,9990000.0,120000.0,356498.16450389195,9643501.835496128,346854662.66847706,20000.0,20000.0,20000.0
17,340000.0,9990000.0,9990000.0,120000.0,346854.6626683998,9653145.337329952,337201517.33104956,20000.0,20000.0,20000.0
18,360000.0,9990000.0,9990000.0,120000.0,337201.51733105525,9662798.482670017,327538718.84842384,20000.0,20000.0,20000.0
19,380000.0,9990000.0,9990000.0,120000.0,327538.7188483847,9672461.2811515,317866257.56734574,20000.0,20000.0,20000.0
20,400000.0,9990000.0,9990000.0,120000.0,317866.25756726915,9682133.742432825,308184123.8248351,20000.0,20000.0,20000.0
21,420000.0,9990000.0,9990000.0,120000.0,308184.1238248487,9691815.876176812,298492307.9486845,20000.0,20000.0,20000.0
22,440000.0,9990000.0,9990000.0,120000.0,298492.3079487124,9701507.692051193,288790800.25666416,20000.0,20000.0,20000.0
23,460000.0,9990000.0,9990000.0,120000.0,288790.800256588,9711209.199744735,279079591.05692285,20000.0,20000.0,20000.0
24,480000.0,9990000.0,9990000.0,120000.0,279079.591056849,9720920.408944022,269358670.6479771,20000.0,20000.0,20000.0
25,500000.0,9990000.0,9990000.0,120000.0,269358.6706480002,9730641.329351984,259628029.31852522,20000.0,20000.0,20000.0
26,520000.0,9990000.0,9990000.0,120000.0,259628.02931863107,9740371.97068286,249887657.34791374,20000.0,20000.0,20000.0
27,540000.0,9990000.0,9990000.0,120000.0,249887.65734793674,9750112.342650112,240137545.00529885,20000.0,20000.0,20000.0
28,560000.0,9990000.0,9990000.0,120000.0,240137.5450052021,9759862.454997243,230377682.55025145,20000.0,20000.0,20000.0
29,580000.0,9990000.0,9990000.0,120000.0,230377.68255023236,9769622.31744878,220608060.2327715,20000.0,20000.0,20000.0
30,600000.0,9990000.0,9990000.0,120000.0,220608.0602327762,9779391.939768815,210828668.29305407,20000.0,20000.0,20000.0
31,620000.0,9990000.0,9990000.0,120000.0,210828.6682929837,9789171.331709148,201039496.9613121,20000.0,20000.0,20000.0
32,640000.0,9990000.0,9990000.0,120000.0,201039.4969613637,9798960.50304015,191240536.45827433,20000.0,20000.0,20000.0
33,660000.0,9990000.0,9990000.0,120000.0,191240.53645828334,9808759.46354124,181431776.99475962,20000.0,20000.0,20000.0
34,680000.0,9990000.0,9990000.0,120000.0,181431.77699472793,9818568.223006556,171613208.7717389,20000.0,20000.0,20000.0
35,700000.0,9990000.0,9990000.0,120000.0,171613.20877174145,9828386.791228866,161784821.9805014,20000.0,20000.0,20000.0
36,720000.0,9990000.0,9990000.0,120000.0,161784.8219805106,9838215.178019932,151946606.80247593,20000.0,20000.0,20000.0
37,740000.0,9990000.0,9990000.0,120000.0,151946.60680251388,9848053.393196687,142098553.40928057,20000.0,20000.0,20000.0
38,760000.0,9990000.0,9990000.0,120000.0,142098.55340929228,9857901.446589818,132240651.9627265,20000.0,20000.0,20000.0
39,780000.0,9990000.0,9990000.0,120000.0,132240.6519626739,9867759.348036347,122372892.61464195,20000.0,20000.0,20000.0
40,800000.0,9990000.0,9990000.0,120000.0,122372.89261465837,9877627.107387388,112495265.50726157,20000.0,20000.0,20000.0
41,820000.0,9990000.0,9990000.0,120000.0,112495.26550730345,9887504.734491572,102607760.77280612,20000.0,20000.0,20000.0
42,840000.0,9990000.0,9990000.0,120000.0,102607.76077279879,9897392.239227818,92710368.53357133,20000.0,20000.0,20000.0
43,860000.0,9990000.0,9990000.0,120000.0,92710.36853357758,9907289.631466245,82803078.90207995,20000.0,20000.0,20000.0
44,880000.0,9990000.0,9990000.0,120000.0,82803.07890208194,9917196.921097836,72885881.98100732,20000.0,20000.0,20000.0
45,900000.0,9990000.0,9990000.0,120000.0,72885.88198099413,9927114.118020512,62958767.86298653,20000.0,20000.0,20000.0
46,920000.0,9990000.0,9990000.0,120000.0,62958.76786296487,9937041.232138408,53021726.63084713,20000.0,20000.0,20000.0
47,940000.0,9990000.0,9990000.0,120000.0,53021.726630836056,9946978.273371227,43074748.35746569,20000.0,20000.0,20000.0
48,960000.0,9990000.0,9990000.0,120000.0,43074.7483574682,9956925.251643717,33117823.105827417,20000.0,20000.0,20000.0
49,980000.0,9990000.0,9990000.0,120000.0,33117.82310582453,9966882.17689468,23150940.928940132,20000.0,20000.0,20000.0
50,1000000.0,9990000.0,9990000.0,120000.0,23150.940928935586,9976849.059071368,13174091.869866416,20000.0,20000.0,20000.0
51,1020000.0,9990000.0,9990000.0,120000.0,13174.091869861108,9986825.908130433,3187265.96173372,20000.0,20000.0,20000.0
52,1040000.0,9990000.0,9990000.0,120000.0,3187.265961733283,9996812.734038744,-6809546.772304625,20000.0,20000.0,20000.0
53,1060000.0,9990000.0,9990000.0,120000.0,-6809.546772303567,10006809.546772491,-16816356.319077253,20000.0,20000.0,20000.0
54,1080000.0,9990000.0,9990000.0,120000.0,-16816.356319072667,10016816.356318796,-26833172.6753991,20000.0,20000.0,20000.0
55,1100000.0,9990000.0,9990000.0,120000.0,-26833.172675396738,10026833.172675345,-36860005.84806903,20000.0,20000.0,20000.0
56,1120000.0,9990000.0,9990000.0,120000.0,-36860.005848067594,10036860.005848235,-46896865.853915766,20000.0,20000.0,20000.0
57,1140000.0,9990000.0,9990000.0,120000.0,-46896.86585392298,10046896.865852572,-56943762.71977892,20000.0,20000.0,20000.0
58,1160000.0,9990000.0,9990000.0,120000.0,-56943.76271976454,10056943.762719555,-67000706.482510984,20000.0,20000.0,20000.0
59,1180000.0,9990000.0,9990000.0,120000.0,-67000.70648250062,10067000.706482511,-77067707.18897174,20000.0,20000.0,20000.0
60,1200000.0,9990000.0,9990000.0,120000.0,-77067.70718897968,10077067.70718836,-87144774.89616126,20000.0,20000.0,20000.0
61,1220000.0,9990000.0,9990000.0,120000.0,-87144.7748961537,10087144.774895357,-97231919.67104787,20000.0,20000.0,20000.0
62,1240000.0,9990000.0,9990000.0,120000.0,-97231.91967104212,10097231.919671975,-107329151.59075305,20000.0,20000.0,20000.0
63,1260000.0,9990000.0,9990000.0,120000.0,-107329.15159071657,10107329.151591698,-117436480.7423524,20000.0,20000.0,20000.0
64,1280000.0,9990000.0,9990000.0,120000.0,-117436.48074232608,10117436.480744107,-127553917.22306605,20000.0,20000.0,20000.0
65,1300000.0,9990000.0,9990000.0,120000.0,-127553.91722308681,10127553.917224003,-137681471.14026877,20000.0,20000.0,20000.0
66,1320000.0,9990000.0,9990000.0,120000.0,-137681.47114026797,10137681.471140472,-147819152.61146075,20000.0,20000.0,20000.0
67,1340000.0,9990000.0,9990000.0,120000.0,-147819.1526114562,10147819.152611021,-157966971.764,20000.0,20000.0,20000.0
68,1360000.0,9990000.0,9990000.0,120000.0,-157966.9717640781,10157966.971763799,-168124938.73578146,20000.0,20000.0,20000.0
69,1380000.0,9990000.0,9990000.0,120000.0,-168124.93873583185,10168124.93873715,-178293063.6745625,20000.0,20000.0,20000.0
70,1400000.0,9990000.0,9990000.0,120000.0,-178293.06367455912,10178293.063676294,-188471356.73820984,20000.0,20000.0,20000.0
71,1420000.0,9990000.0,9990000.0,120000.0,-188471.35673822314,10188471.356740262,-198659828.09493443,20000.0,20000.0,20000.0
72,1440000.0,9990000.0,9990000.0,120000.0,-198659.82809491825,10198659.828094512,-208858487.9230687,20000.0,20000.0,20000.0
73,1460000.0,9990000.0,9990000.0,120000.0,-208858.48792301078,10208858.487922722,-219067346.41098064,20000.0,20000.0,20000.0
74,1480000.0,9990000.0,9990000.0,120000.0,-219067.34641095047,10219067.346410584,-229286413.75742024,20000.0,20000.0,20000.0
75,1500000.0,9990000.0,9990000.0,120000.0,-229286.41375736464,10229286.413757628,-239515700.17107722,20000.0,20000.0,20000.0
76,1520000.0,9990000.0,9990000.0,120000.0,-239515.70017116275,10239515.700172251,-249755215.87133005,20000.0,20000.0,20000.0
77,1540000.0,9990000.0,9990000.0,120000.0,-249755.21587127887,10249755.215869874,-260004971.08721557,20000.0,20000.0,20000.0
78,1560000.0,9990000.0,9990000.0,120000.0,-260004.97108711046,10260004.971085062,-270264976.0582977,20000.0,20000.0,20000.0
79,1580000.0,9990000.0,9990000.0,120000.0,-270264.97605832113,10270264.976060096,-280535241.034316,20000.0,20000.0,20000.0
80,1600000.0,9990000.0,9990000.0,120000.0,-280535.2410342854,10280535.241032029,-290815776.27539206,20000.0,20000.0,20000.0
81,1620000.0,9990000.0,9990000.0,120000.0,-290815.7762753707,10290815.776275672,-301106592.05163926,20000.0,20000.0,20000.0
82,1640000.0,9990000.0,9990000.0,120000.0,-301106.59205160826,10301106.592051368,-311407698.6437433,20000.0,20000.0,20000.0
83,1660000.0,9990000.0,9990000.0,120000.0,-311407.6986437287,10311407.6986425,-321719106.34225774,20000.0,20000.0,20000.0
84,1680000.0,9990000.0,9990000.0,120000.0,-321719.10634229577,10321719.106342621,-332040825.4486436,20000.0,20000.0,20000.0
85,1700000.0,9990000.0,9990000.0,120000.0,-332040.82544870407,10332040.825448923,-342372866.2741185,20000.0,20000.0,20000.0
86,1720000.0,9990000.0,9990000.0,120000.0,-342372.8662740939,10342372.866273282,-352715239.1403915,20000.0,20000.0,20000.0
87,1740000.0,9990000.0,9990000.0,120000.0,-352715.23914045526,10352715.23913981,-363067954.379499,20000.0,20000.0,20000.0
88,1760000.0,9990000.0,9990000.0,120000.0,-363067.95437952696,10363067.954380337,-373431022.33393484,20000.0,20000.0,20000.0
89,1780000.0,9990000.0,9990000.0,120000.0,-373431.0223338736,10373431.022334732,-383804453.35626525,20000.0,20000.0,20000.0
90,1800000.0,9990000.0,9990000.0,120000.0,-383804.4533562723,10383804.453356357,-394188257.80967706,20000.0,20000.0,20000.0
91,1820000.0,9990000.0,9990000.0,120000.0,-394188.2578096824,10394188.257809727,-404582446.06737053,20000.0,20000.0,20000.0
